,start_station_name,value
1376,W 21 St & 6 Ave,5647
8,1 Ave & E 68 St,4923
652,E 17 St & Broadway,4414
1307,University Pl & E 14 St,4110
380,Broadway & E 21 St,3874
680,E 33 St & 1 Ave,3860
410,Broadway & W 58 St,3843
501,Clinton St & Grand St,3695
261,8 Ave & W 33 St,3632
269,9 Ave & W 22 St,3509
24,11 Ave & W 41 St,3457
239,6 Ave & W 34 St,3390
494,Cleveland Pl & Spring St,3335
18,10 Ave & W 28 St,3273
1380,W 22 St & 10 Ave,3228
673,E 27 St & 1 Ave,3168
379,Broadway & E 14 St,3145
1105,Norfolk St & Broome St,3139
238,6 Ave & W 33 St,3130
9,1 Ave & E 78 St,3103
