start_station_name,value
W 21 St & 6 Ave,5647
1 Ave & E 68 St,4923
E 17 St & Broadway,4414
University Pl & E 14 St,4110
Broadway & E 21 St,3874
E 33 St & 1 Ave,3860
Broadway & W 58 St,3843
Clinton St & Grand St,3695
8 Ave & W 33 St,3632
9 Ave & W 22 St,3509
11 Ave & W 41 St,3457
6 Ave & W 34 St,3390
Cleveland Pl & Spring St,3335
10 Ave & W 28 St,3273
W 22 St & 10 Ave,3228
E 27 St & 1 Ave,3168
Broadway & E 14 St,3145
Norfolk St & Broome St,3139
6 Ave & W 33 St,3130
1 Ave & E 78 St,3103
